Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
Participant 1,4/12/16,1,327,346
Participant 1,4/13/16,2,384,407
Participant 1,4/15/16,1,412,442
Participant 1,4/16/16,2,340,367
Participant 1,4/17/16,1,700,712
Participant 1,4/19/16,1,304,320
Participant 1,4/20/16,1,360,377
Participant 1,4/21/16,1,325,364
Participant 1,4/23/16,1,361,384
Participant 1,4/24/16,1,430,449
Participant 1,4/25/16,1,277,323
Participant 1,4/26/16,1,245,274
Participant 1,4/28/16,1,366,393
Participant 1,4/29/16,1,341,354
Participant 1,4/30/16,1,404,425
Participant 1,5/1/16,1,369,396
Participant 1,5/2/16,1,277,309
Participant 1,5/3/16,1,273,296
Participant 1,5/5/16,1,247,264
Participant 1,5/6/16,1,334,367
Participant 1,5/7/16,1,331,349
Participant 1,5/8/16,1,594,611
Participant 1,5/9/16,1,338,342
Participant 1,5/10/16,1,383,403
Participant 1,5/11/16,1,285,306
Participant 2,4/12/16,1,503,546
Participant 2,4/13/16,1,531,565
Participant 2,4/14/16,1,545,568
Participant 2,4/15/16,1,523,573
Participant 2,4/16/16,1,524,567
Participant 2,4/17/16,1,437,498
Participant 2,4/19/16,1,498,540
Participant 2,4/20/16,1,461,510
Participant 2,4/21/16,1,477,514
Participant 2,4/22/16,1,520,545
Participant 2,4/23/16,1,522,554
Participant 2,4/24/16,1,555,591
Participant 2,4/25/16,1,506,531
Participant 2,4/27/16,1,508,545
Participant 2,4/28/16,1,513,545
Participant 2,4/29/16,1,490,510
Participant 2,4/30/16,1,573,607
Participant 2,5/1/16,1,527,546
Participant 2,5/2/16,1,511,543
Participant 2,5/4/16,1,538,560
Participant 2,5/5/16,1,468,485
Participant 2,5/6/16,1,524,548
Participant 2,5/7/16,1,511,521
Participant 2,5/8/16,1,541,568
Participant 2,5/9/16,1,531,556
Participant 2,5/10/16,1,357,380
Participant 2,5/11/16,1,523,553
Participant 2,5/12/16,1,456,485
Participant 3,4/12/16,1,274,469
Participant 3,4/13/16,2,295,456
Participant 3,4/14/16,1,291,397
Participant 3,4/15/16,1,424,556
Participant 3,4/16/16,1,283,510
Participant 3,4/17/16,1,381,566
Participant 3,4/18/16,2,412,522
Participant 3,4/19/16,1,219,395
Participant 3,4/20/16,2,152,305
Participant 3,4/21/16,1,332,512
Participant 3,4/22/16,1,355,476
Participant 3,4/23/16,1,235,372
Participant 3,4/24/16,1,310,526
Participant 3,4/25/16,1,262,467
Participant 3,4/26/16,1,250,371
Participant 3,4/27/16,1,349,540
Participant 3,4/28/16,1,261,423
Participant 3,4/29/16,1,333,478
Participant 3,4/30/16,1,237,382
Participant 3,5/1/16,1,383,626
Participant 3,5/2/16,1,230,384
Participant 3,5/3/16,1,292,500
Participant 3,5/4/16,1,213,336
Participant 3,5/5/16,1,318,480
Participant 3,5/6/16,1,323,512
Participant 3,5/7/16,1,237,443
Participant 3,5/8/16,2,259,456
Participant 3,5/10/16,1,312,452
Participant 4,4/14/16,1,535,557
Participant 4,4/15/16,1,465,491
Participant 4,4/16/16,1,506,522
Participant 4,4/18/16,1,515,551
Participant 4,4/19/16,2,461,498
Participant 4,4/20/16,1,523,543
Participant 4,4/21/16,1,59,65
Participant 4,4/22/16,1,533,550
Participant 4,4/23/16,1,692,722
Participant 4,4/24/16,1,467,501
Participant 4,4/25/16,1,488,506
Participant 4,4/26/16,1,505,516
Participant 4,4/27/16,1,286,307
Participant 4,4/28/16,1,497,522
Participant 4,4/29/16,1,523,546
Participant 4,4/30/16,1,490,516
Participant 4,5/1/16,1,484,500
Participant 4,5/2/16,1,478,506
Participant 4,5/3/16,1,474,512
Participant 4,5/6/16,1,450,491
Participant 4,5/7/16,1,507,530
Participant 4,5/8/16,1,602,638
Participant 4,5/9/16,1,535,565
Participant 4,5/10/16,1,487,517
Participant 4,5/11/16,1,529,558
Participant 4,5/12/16,1,302,321
Participant 5,4/15/16,1,499,526
Participant 5,4/16/16,2,426,448
Participant 5,4/17/16,2,619,641
Participant 5,4/18/16,1,99,104
Participant 5,4/19/16,1,329,338
Participant 5,4/20/16,1,421,451
Participant 5,4/21/16,1,442,458
Participant 5,4/22/16,1,82,85
Participant 5,4/23/16,1,478,501
Participant 5,4/24/16,3,552,595
Participant 5,4/26/16,1,319,346
Participant 5,4/27/16,1,439,500
Participant 5,4/28/16,1,428,458
Participant 5,4/30/16,2,409,430
Participant 5,5/1/16,1,547,597
Participant 5,5/2/16,2,368,376
Participant 5,5/4/16,1,390,414
Participant 5,5/5/16,1,471,495
Participant 5,5/7/16,1,472,496
Participant 5,5/8/16,2,529,541
Participant 5,5/9/16,1,62,65
Participant 5,5/10/16,1,354,375
Participant 5,5/11/16,1,469,494
Participant 6,4/12/16,2,429,457
Participant 6,4/13/16,2,370,406
Participant 6,4/14/16,1,441,492
Participant 6,4/15/16,2,337,379
Participant 6,4/16/16,1,462,499
Participant 6,4/17/16,1,98,107
Participant 6,4/19/16,2,388,424
Participant 6,4/20/16,1,439,462
Participant 6,4/21/16,1,436,469
Participant 6,4/22/16,1,388,417
Participant 6,4/25/16,1,328,345
Participant 6,4/26/16,2,353,391
Participant 6,4/27/16,1,332,374
Participant 6,4/28/16,1,419,442
Participant 6,4/29/16,1,106,108
Participant 6,4/30/16,1,322,353
Participant 6,5/1/16,2,439,459
Participant 6,5/2/16,1,502,542
Participant 6,5/3/16,2,417,450
Participant 6,5/4/16,2,337,363
Participant 6,5/5/16,2,462,513
Participant 6,5/6/16,2,374,402
Participant 6,5/7/16,2,401,436
Participant 6,5/8/16,1,361,391
Participant 6,5/9/16,1,457,533
Participant 6,5/10/16,1,405,426
Participant 6,5/11/16,1,499,530
Participant 6,5/12/16,1,483,501
Participant 7,4/12/16,1,425,439
Participant 7,4/13/16,2,400,430
Participant 7,4/14/16,1,384,415
Participant 7,4/15/16,1,253,257
Participant 7,4/16/16,2,382,406
Participant 7,4/17/16,1,591,612
Participant 7,4/18/16,1,293,312
Participant 7,4/19/16,1,457,487
Participant 7,4/20/16,1,454,468
Participant 7,4/21/16,1,425,434
Participant 7,4/23/16,1,465,475
Participant 7,4/24/16,1,480,506
Participant 7,4/25/16,1,370,380
Participant 7,4/26/16,1,421,429
Participant 7,4/27/16,1,432,449
Participant 7,4/28/16,1,442,461
Participant 7,4/29/16,1,433,447
Participant 7,4/30/16,1,479,501
Participant 7,5/3/16,1,327,373
Participant 7,5/4/16,1,412,434
Participant 7,5/5/16,1,414,428
Participant 7,5/6/16,1,404,449
Participant 7,5/7/16,1,520,543
Participant 7,5/9/16,1,435,458
Participant 7,5/10/16,1,416,431
Participant 7,5/11/16,1,354,366
Participant 7,5/12/16,1,404,442
Participant 8,4/12/16,1,441,464
Participant 8,4/13/16,2,455,488
Participant 8,4/14/16,1,357,418
Participant 8,4/15/16,1,377,409
Participant 8,4/16/16,2,651,686
Participant 8,4/17/16,1,350,402
Participant 8,4/18/16,2,520,541
Participant 8,4/19/16,1,357,410
Participant 8,4/20/16,1,658,678
Participant 8,4/21/16,1,399,431
Participant 8,4/22/16,1,322,353
Participant 8,4/23/16,2,631,725
Participant 8,4/24/16,2,553,640
Participant 8,4/25/16,1,433,468
Participant 8,4/26/16,1,412,453
Participant 8,4/27/16,1,347,391
Participant 8,4/28/16,1,421,457
Participant 8,4/29/16,1,450,495
Participant 8,4/30/16,2,775,843
Participant 8,5/1/16,2,622,686
Participant 8,5/2/16,1,409,471
Participant 8,5/3/16,1,380,429
Participant 8,5/4/16,1,447,470
Participant 8,5/5/16,1,419,464
Participant 8,5/6/16,1,400,434
Participant 8,5/7/16,1,442,470
Participant 8,5/8/16,1,568,608
Participant 8,5/9/16,1,453,494
Participant 8,5/10/16,1,418,443
Participant 8,5/11/16,1,463,486
Participant 8,5/12/16,1,438,475
Participant 9,4/12/16,1,419,438
Participant 9,4/13/16,1,432,458
Participant 9,4/14/16,1,477,497
Participant 9,4/15/16,1,392,413
Participant 9,4/16/16,1,406,445
Participant 9,4/17/16,1,549,583
Participant 9,4/18/16,1,527,553
Participant 9,4/19/16,1,449,465
Participant 9,4/20/16,1,447,480
Participant 9,4/21/16,1,414,437
Participant 9,4/22/16,1,338,366
Participant 9,4/23/16,1,384,402
Participant 9,4/24/16,1,543,615
Participant 9,4/25/16,1,421,461
Participant 9,4/26/16,1,354,377
Participant 9,4/27/16,1,424,452
Participant 9,4/28/16,1,361,372
Participant 9,4/29/16,1,459,485
Participant 9,4/30/16,1,412,433
Participant 9,5/1/16,1,379,398
Participant 9,5/2/16,2,525,553
Participant 9,5/3/16,1,508,543
Participant 9,5/4/16,1,603,634
Participant 9,5/5/16,1,74,78
Participant 9,5/10/16,1,504,562
Participant 9,5/11/16,1,431,476
Participant 10,4/12/16,1,366,387
Participant 10,4/13/16,3,630,679
Participant 10,4/14/16,2,508,535
Participant 10,4/15/16,1,370,386
Participant 10,4/16/16,1,357,366
Participant 10,4/17/16,1,427,446
Participant 10,4/18/16,1,442,458
Participant 10,4/19/16,1,476,535
Participant 10,4/20/16,1,418,424
Participant 10,4/21/16,1,451,457
Participant 10,4/22/16,1,425,435
Participant 10,4/23/16,1,528,546
Participant 10,4/24/16,1,511,514
Participant 10,4/25/16,1,400,415
Participant 10,4/26/16,1,441,446
Participant 10,4/27/16,1,455,467
Participant 10,4/28/16,1,440,453
Participant 10,4/29/16,1,433,447
Participant 10,4/30/16,1,422,424
Participant 10,5/1/16,1,411,426
Participant 10,5/2/16,1,466,482
Participant 10,5/3/16,1,394,418
Participant 10,5/4/16,1,442,455
Participant 10,5/5/16,1,467,491
Participant 10,5/6/16,1,443,462
Participant 10,5/7/16,1,298,334
Participant 10,5/8/16,1,541,569
Participant 10,5/9/16,1,489,497
Participant 10,5/10/16,1,469,481
Participant 10,5/11/16,1,452,480
Participant 10,5/12/16,1,516,535
Participant 11,4/12/16,1,514,525
Participant 11,4/13/16,1,451,465
Participant 11,4/14/16,1,472,476
Participant 11,4/15/16,1,377,386
Participant 11,4/19/16,1,472,483
Participant 11,4/20/16,1,492,502
Participant 11,4/21/16,1,390,411
Participant 11,4/22/16,1,428,448
Participant 11,4/24/16,1,681,704
Participant 11,4/25/16,1,446,447
Participant 11,4/26/16,1,485,500
Participant 11,4/27/16,1,469,479
Participant 11,4/28/16,1,354,367
Participant 11,4/30/16,1,485,489
Participant 11,5/1/16,1,388,407
Participant 11,5/2/16,1,440,459
Participant 11,5/3/16,1,456,461
Participant 11,5/4/16,1,420,436
Participant 11,5/6/16,1,322,333
Participant 11,5/7/16,1,530,548
Participant 11,5/8/16,1,481,510
Participant 11,5/9/16,1,427,438
Participant 11,5/11/16,1,451,463
Participant 11,5/12/16,1,444,457
Participant 12,4/12/16,1,338,356
Participant 12,4/13/16,2,447,487
Participant 12,4/14/16,1,424,455
Participant 12,4/15/16,1,513,533
Participant 12,4/16/16,2,611,689
Participant 12,4/17/16,2,525,591
Participant 12,4/18/16,1,398,451
Participant 12,4/19/16,1,387,421
Participant 12,4/20/16,1,381,409
Participant 12,4/21/16,1,396,417
Participant 12,4/22/16,1,441,469
Participant 12,4/23/16,1,565,591
Participant 12,4/24/16,1,458,492
Participant 12,4/25/16,1,388,402
Participant 12,4/26/16,1,550,584
Participant 12,4/27/16,1,531,600
Participant 12,4/28/16,1,506,556
Participant 12,4/29/16,1,527,562
Participant 12,4/30/16,1,468,555
Participant 12,5/1/16,1,475,539
Participant 12,5/2/16,1,351,385
Participant 12,5/3/16,1,405,429
Participant 12,5/4/16,1,441,477
Participant 12,5/5/16,1,381,417
Participant 12,5/6/16,1,323,355
Participant 12,5/7/16,2,459,513
Participant 12,5/8/16,1,545,606
Participant 12,5/9/16,1,359,399
Participant 12,5/10/16,1,342,391
Participant 12,5/11/16,1,368,387
Participant 12,5/12/16,1,496,546
