Id,ActivityDay,Calories
1503960366,4/12,1985
1503960366,4/13,1797
1503960366,4/14,1776
1503960366,4/15,1745
1503960366,4/16,1863
1503960366,4/17,1728
1503960366,4/18,1921
1503960366,4/19,2035
1503960366,4/20,1786
1503960366,4/21,1775
1503960366,4/22,1827
1503960366,4/23,1949
1503960366,4/24,1788
1503960366,4/25,2013
1503960366,4/26,1970
1503960366,4/27,2159
1503960366,4/28,1898
1503960366,4/29,1837
1503960366,4/30,1947
1503960366,5/1,1820
1503960366,5/2,2004
1503960366,5/3,1990
1503960366,5/4,1819
1503960366,5/5,1959
1503960366,5/6,1896
1503960366,5/7,1821
1503960366,5/8,1740
1503960366,5/9,1819
1503960366,5/10,1859
1503960366,5/11,1783
1503960366,5/12,0
1624580081,4/12,1432
1624580081,4/13,1411
1624580081,4/14,1572
1624580081,4/15,1344
1624580081,4/16,1463
1624580081,4/17,1554
1624580081,4/18,1604
1624580081,4/19,1435
1624580081,4/20,1446
1624580081,4/21,1467
1624580081,4/22,1470
1624580081,4/23,1562
1624580081,4/24,1617
1624580081,4/25,1492
1624580081,4/26,1402
1624580081,4/27,1670
1624580081,4/28,1401
1624580081,4/29,1404
1624580081,4/30,1655
1624580081,5/1,2690
1624580081,5/2,1497
1624580081,5/3,1334
1624580081,5/4,1368
1624580081,5/5,1370
1624580081,5/6,1341
1624580081,5/7,1474
1624580081,5/8,1427
1624580081,5/9,1328
1624580081,5/10,1393
1624580081,5/11,1359
1624580081,5/12,1002
1844505072,4/12,2030
1844505072,4/13,1860
1844505072,4/14,2130
1844505072,4/15,1725
1844505072,4/16,1657
1844505072,4/17,1793
1844505072,4/18,1814
1844505072,4/19,1366
1844505072,4/20,1349
1844505072,4/21,2062
1844505072,4/22,1827
1844505072,4/23,1645
1844505072,4/24,1347
1844505072,4/25,1347
1844505072,4/26,1347
1844505072,4/27,1348
1844505072,4/28,1992
1844505072,4/29,1856
1844505072,4/30,1763
1844505072,5/1,1541
1844505072,5/2,1348
1844505072,5/3,1742
1844505072,5/4,1549
1844505072,5/5,1589
1844505072,5/6,1351
1844505072,5/7,1347
1844505072,5/8,1347
1844505072,5/9,1347
1844505072,5/10,1347
1844505072,5/11,1347
1844505072,5/12,665
1927972279,4/12,2220
1927972279,4/13,2151
1927972279,4/14,2383
1927972279,4/15,2221
1927972279,4/16,2064
1927972279,4/17,2063
1927972279,4/18,2111
1927972279,4/19,2063
1927972279,4/20,2063
1927972279,4/21,2064
1927972279,4/22,2093
1927972279,4/23,2499
1927972279,4/24,2324
1927972279,4/25,2100
1927972279,4/26,2638
1927972279,4/27,2063
1927972279,4/28,2351
1927972279,4/29,2063
1927972279,4/30,2064
1927972279,5/1,2411
1927972279,5/2,2505
1927972279,5/3,2195
1927972279,5/4,2338
1927972279,5/5,2063
1927972279,5/6,2383
1927972279,5/7,2229
1927972279,5/8,2063
1927972279,5/9,2063
1927972279,5/10,2063
1927972279,5/11,2063
1927972279,5/12,1383
2022484408,4/12,2390
2022484408,4/13,2601
2022484408,4/14,2312
2022484408,4/15,2525
2022484408,4/16,2177
2022484408,4/17,2782
2022484408,4/18,2770
2022484408,4/19,2489
2022484408,4/20,2897
